ops/sec(cum)	p50(ms)	p99(ms)	skews
166319.1	1.2750000000000001	3.4625	0
162986.1	2.0250000000000004	7.4125000000000005	0.1
160544.1	1.45	4.9625	0.2
153720.69999999998	2.0	12.575	0.3
140004.0	1.7125	13.999999999999998	0.4
129755.70000000001	1.3875	7.749999999999999	0.5
120315.3	1.525	5.375	0.6
115129.90000000001	2.3499999999999996	8.5125	0.7
112787.4	2.15	6.7125	0.8
115559.29999999999	2.4375	7.65	0.9
117764.00000000001	2.5000000000000004	7.8999999999999995	0.99
124518.4	3.1499999999999995	9.775	1.1
120956.9	3.1499999999999995	9.775	1.2
110772.5	2.3875	7.449999999999999	1.3
119341.7	0.8750000000000001	2.2375	1.4
109974.7	3.525	10.5375	1.5
