elapsed	ops_cumul
1.0	21307.6
2.0	21710.7
3.0	22164.5
4.0	22226.2
5.0	22311.9
6.0	22318.3
7.0	22342.1
8.0	22335.2
9.0	22329.6
10.0	22345.3
11.0	22310.4
12.0	22391.800000000003
13.0	22440.9
14.0	22493.6
15.0	22563.6
16.0	22577.8
17.0	22615.5
18.0	22661.8
19.0	22663.0
20.0	22684.700000000004
21.0	22714.699999999997
22.0	22735.0
23.0	22752.300000000003
24.0	22758.199999999997
25.0	22781.199999999997
26.0	22785.699999999997
27.0	22803.9
28.0	22801.6
29.0	22826.6
30.0	22876.1
31.0	22898.4
32.0	22912.8
33.0	22940.1
34.0	22940.6
35.0	22947.5
36.0	22940.2
37.0	22940.8
38.0	22938.0
39.0	22938.6
40.0	22948.6
41.0	22939.9
42.0	22943.6
43.0	22938.5
44.0	22942.5
45.0	22943.3
46.0	22940.1
47.0	22941.300000000003
48.0	22938.1
49.0	22937.7
50.0	22946.7
51.0	22934.1
52.0	22942.2
53.0	22942.5
54.0	22933.5
55.0	22927.3
56.0	22923.9
57.0	22921.6
58.0	22924.9
59.0	22925.7
60.0	22916.5
61.0	22913.399999999998
62.0	22911.3
63.0	22907.0
64.0	22902.0
65.0	22888.3
66.0	22891.3
67.0	22886.6
68.0	22888.5
69.0	22888.899999999998
70.0	22890.0
71.0	22889.199999999997
72.0	22886.699999999997
73.0	22886.300000000003
74.0	22881.1
75.0	22882.2
76.0	22880.1
77.0	22877.8
78.0	22874.9
79.0	22873.4
80.0	22875.1
81.0	22874.0
82.0	22875.5
83.0	22876.4
84.0	22873.5
85.0	22875.7
86.0	22868.7
87.0	22868.0
88.0	22868.6
89.0	22863.699999999997
90.0	22862.3
91.0	22861.3
92.0	22860.199999999997
93.0	22852.4
94.0	22855.600000000002
95.0	22850.0
96.0	22851.9
97.0	22846.1
98.0	22844.4
99.0	22837.1
100.0	22835.300000000003
101.0	22828.1
102.0	22823.699999999997
103.0	22816.9
104.0	22809.7
105.0	22799.300000000003
106.0	22798.3
107.0	22792.7
108.0	22782.7
109.0	22780.8
110.0	22772.7
111.0	22773.2
112.0	22766.899999999998
113.0	22760.4
114.0	22754.1
115.0	22750.5
116.0	22746.300000000003
117.0	22740.9
118.0	22740.4
119.0	22737.4
120.0	22734.3
121.0	22730.800000000003
122.0	22725.8
123.0	22723.6
124.0	22718.6
125.0	22714.800000000003
126.0	22712.2
127.0	22707.199999999997
128.0	22706.5
129.0	22699.9
130.0	22696.4
131.0	22693.3
132.0	22691.699999999997
133.0	22689.5
134.0	22690.1
135.0	22692.9
136.0	22694.0
137.0	22694.100000000002
138.0	22693.1
139.0	22693.2
140.0	22691.4
141.0	22692.0
142.0	22694.0
143.0	22692.6
144.0	22692.5
145.0	22692.100000000002
146.0	22694.2
147.0	22694.0
148.0	22690.7
149.0	22692.5
150.0	22691.9
151.0	22692.0
152.0	22691.0
153.0	22690.6
154.0	22690.6
155.0	22688.8
156.0	22689.9
157.0	22690.9
158.0	22689.299999999996
159.0	22687.8
160.0	22688.699999999997
161.0	22686.1
162.0	22684.0
163.0	22678.4
164.0	22674.100000000002
165.0	22674.2
166.0	22669.199999999997
167.0	22670.8
168.0	22666.5
169.0	22665.9
170.0	22663.0
171.0	22661.800000000003
172.0	22659.6
173.0	22655.4
174.0	22652.800000000003
175.0	22650.600000000002
176.0	22647.2
177.0	22647.1
178.0	22645.600000000002
179.0	22645.3
180.0	22641.6
181.0	22640.2
182.0	22639.7
183.0	22636.9
184.0	22633.2
185.0	22630.5
186.0	22628.5
187.0	22626.1
188.0	22623.9
189.0	22621.4
190.0	22619.800000000003
191.0	22615.1
192.0	22608.1
193.0	22603.2
194.0	22602.7
195.0	22604.800000000003
196.0	22606.7
197.0	22605.1
198.0	22607.800000000003
199.0	22608.2
200.0	45237.1
